Name,RA,Dec,Class,Gmag
SSTISAGEMA J005326.55-721203.4,13.36067586,-72.20092362,Hot,13.238485999999998
2MASS J00532969-7315454,13.37379344,-73.26266246,Hot,15.110945
SSTISAGEMA J005336.36-722110.5,13.40155295,-72.35289780,Hot,14.219283
WISE J005337.26-722355.7,13.40526905,-72.39884052,Hot,12.99819
WISE J005337.81-723239.4,13.40763275,-72.54429306,Hot,12.675267
WISE J005339.16-720346.2,13.41327769,-72.06283075,Hot,13.165035
WISE J005340.23-722433.9,13.41772565,-72.40938551,Hot,13.704391
WISE J005340.32-720652.3,13.41804599,-72.11452514,Hot,13.750319500000002
SSTISAGEMA J005341.58-722347.1,13.42329138,-72.39641992,Hot,13.612703
ISO-MCMS J005347.0-731455,13.44675796,-73.24885032,Hot,13.604485999999998
{[MA93]}  717,13.46714332,-72.44416650,Hot,13.849326
WISE J005352.82-713757.4,13.47011500,-71.63262414,Cool,13.336357
WISE J005353.29-722903.8,13.47220723,-72.48444107,Hot,13.921499
SSTISAGEMA J005354.37-722846.7,13.47669706,-72.47963534,Hot,14.271024
SSTISAGEMA J005358.87-734620.3,13.49519245,-73.77231687,Hot,14.561085
WISE J005359.02-721543.3,13.49593912,-72.26204170,Hot,13.5976305
WISE J005407.68-722249.3,13.53199236,-72.38037924,Hot,13.424511
WISE J005415.33-644132.3,13.56389554,-64.69230841,Hot,13.701249
SSTISAGEMA J005422.24-722018.2,13.59272147,-72.33838737,Hot,13.590609
ISO-MCMS J005424.4-730335,13.60287076,-73.05998067,Hot,14.356758
WISE J005441.35-731427.4,13.67231180,-73.24095053,Hot,13.685108
ISO-MCMS J005441.7-730743,13.67345284,-73.12890881,Hot,13.548238
WISE J005447.82-714549.8,13.69928610,-71.76387968,Hot,13.813878
 HV  1636,13.76169785,-72.76809156,Hot,13.830154
WISE J005503.13-725951.5,13.76309475,-72.99766436,Hot,14.909818
WISE J005505.04-723404.0,13.77103869,-72.56780914,Hot,14.555197
WISE J005506.59-691212.5,13.77753203,-69.20352575,Hot,12.313768
{[M2002]} SMC  33354,13.84441293,-72.08937431,Hot,12.465367
SSTISAGEMA J005523.97-715632.6,13.84994853,-71.94239520,Hot,13.117698
WISE J005527.79-724345.6,13.86575450,-72.72933921,Hot,12.524896
WISE J005528.34-722745.8,13.86820722,-72.46273629,Hot,13.878334
SSTISAGEMA J005534.95-723829.4,13.89575352,-72.64152776,Hot,13.189827
SSTISAGEMA J005545.52-724448.1,13.93975780,-72.74673196,Hot,14.110237
SSTISAGEMA J005547.82-723615.1,13.94933954,-72.60421645,Hot,13.177758
SSTISAGEMA J005555.75-722709.8,13.98236561,-72.45272973,Hot,13.23098
 HV   837,13.98358218,-71.98408666,Hot,13.043082
SSTISAGEMA J005559.00-713121.1,13.99589637,-71.52255173,Hot,14.094535
 NGC  330    BAL      90,14.00405671,-72.46101640,Hot,13.675535
WISE J005602.28-715126.6,14.00950868,-71.85739683,Hot,13.378648000000002
SSTISAGEMA J005603.62-721914.7,14.01520096,-72.32073727,Hot,14.638379999999998
WISE J005612.62-721622.0,14.05261730,-72.27279886,Hot,13.626754
WISE J005613.86-720244.0,14.05763844,-72.04559631,Hot,13.293292
2MASS J00561708-7202478,14.07121369,-72.04656523,Hot,14.064854
SSTISAGEMA J005626.77-723901.9,14.11163116,-72.65054288,Hot,14.829822
SSTISAGEMA J005630.86-714621.2,14.12867845,-71.77257007,Hot,13.832813
WISE J005635.79-720306.7,14.14916516,-72.05187104,Hot,13.746672
SSTISAGEMA J005638.00-723535.9,14.15836812,-72.59332633,Hot,14.311164000000002
SSTISAGEMA J005648.12-711044.9,14.20069213,-71.17915710,Hot,13.646325
WISE J005657.84-715626.2,14.24113252,-71.94059709,Hot,14.086676
{[BLK2010]} flames1004,14.27273820,-72.16446734,Hot,13.270812
SSTISAGEMA J005707.33-714436.8,14.28069581,-71.74357385,Hot,14.478053
WISE J005711.88-722210.4,14.29953052,-72.36957638,Hot,13.735947
SSTISAGEMA J005714.75-713016.2,14.31165145,-71.50450719,Hot,13.6310625
WISE J005730.91-774845.8,14.37890211,-77.81272216,Hot,13.386085500000002
 HV 11182,14.39127635,-72.07023379,Hot,13.529763
OGLE SMC-LPV-12815,14.39604141,-72.61727846,Hot,15.777087
WISE J005737.65-715657.7,14.40692980,-71.94936201,Hot,14.404851999999998
WISE J005745.61-720135.1,14.44007490,-72.02641656,Hot,13.704926
2MASS J00574622-7242207,14.44256354,-72.70576059,Hot,13.080539
SSTISAGEMA J005751.24-720519.4,14.46363524,-72.08870030,Hot,14.20877
 HV   840,14.47217189,-72.41283265,Hot,13.377137
SSTISAGEMA J005755.61-722520.2,14.48180731,-72.42224341,Hot,13.907604999999998
2MASS J00580462-7242102,14.51924590,-72.70284300,Hot,15.083488
SSTISAGEMA J005805.01-722239.4,14.52100462,-72.37757786,Hot,13.721908
WISE J005805.03-722626.3,14.52103625,-72.44064781,Hot,13.985625
SSTISAGEMA J005805.15-721300.0,14.52155298,-72.21667416,Hot,13.7560005
 NGC  346    MPG     135,14.65097793,-72.20468865,Hot,13.944651
WISE J005847.60-715631.5,14.69840970,-71.94207565,Hot,13.141984
SkKM 181,14.72949385,-72.55207842,Cool,13.812414000000002
SSTISAGEMA J005858.33-721342.9,14.74306511,-72.22857391,Hot,12.84384
WISE J005915.37-683015.2,14.81408170,-68.50425414,Hot,13.242413
TYC 3271-95-1,14.85497417,50.35752511,Hot,10.394663
SSTISAGEMA J005943.43-723013.1,14.93098453,-72.50364690,Hot,14.293996
UCAC2   1440117,14.96364936,-70.50226591,Hot,11.797012
SSTISAGEMA J005955.87-721527.5,14.98289309,-72.25764755,Hot,14.398003
SSTISAGEMA J005955.96-720654.7,14.98328972,-72.11520014,Hot,13.067321000000002
WISE J010001.93-720102.7,15.00809110,-72.01743508,Hot,13.245639
2MASS J01000868-7214337,15.03624532,-72.24268352,Hot,13.844241
SSTISAGEMA J010012.32-720919.4,15.05137477,-72.15539949,Hot,13.207243
WISE J010013.11-722004.8,15.05463857,-72.33466892,Hot,13.353403
2MASS J01001613-7316276,15.06729135,-73.27436483,Hot,15.449345999999998
WISE J010025.51-713704.3,15.10640458,-71.61787627,Hot,14.063358
SSTISAGEMA J010043.11-721141.9,15.17973062,-72.19498813,Hot,13.060939
WISE J010043.44-720846.3,15.18104714,-72.14619083,Hot,13.28046
 HV   847,15.26121628,-72.19840212,Hot,13.803009
SSTISAGEMA J010112.77-724347.0,15.30321621,-72.72972609,Hot,14.931041
SSTISAGEMA J010116.48-721411.2,15.31877713,-72.23649404,Hot,13.094191
SSTISAGEMA J010157.49-721247.2,15.48967819,-72.21314422,Hot,12.797268
SSTISAGEMA J010207.75-721732.8,15.53233621,-72.29247166,Hot,13.544079
2MASS J01021286-7153233,15.55368827,-71.88983963,Hot,15.111984
ISO-MCMS J010215.5-725909,15.56382759,-72.98582888,Hot,14.210721
2MASS J01023043-7151362,15.62680857,-71.86009764,Hot,14.105996
SSTISAGEMA J010234.64-722216.9,15.64447703,-72.37138000,Hot,14.074872
SSTISAGEMA J010235.02-723020.0,15.64594431,-72.50555186,Hot,13.792849
OGLE J010251.96-720514.0,15.71659805,-72.08730406,Hot,13.565995999999998
SSTISAGEMA J010305.17-720917.1,15.77176655,-72.15477508,Hot,13.904642
 HV  1925,15.82367296,-72.55128109,Hot,13.8605995
WISE J010326.85-723539.8,15.86194392,-72.59434550,Hot,13.845322
SSTISAGEMA J010328.89-735620.4,15.87031755,-73.93906245,Hot,13.528895
WISE J010352.32-714000.3,15.96802206,-71.66676422,Hot,13.6298065
SSTISAGEMA J010416.94-721423.5,16.07063167,-72.23987917,Cool,14.049083
 HV  1967,16.10306400,-72.00955825,Hot,13.537116
{[M2002]} SMC  59694,16.14896218,-72.07097308,Hot,13.28431
SSTISAGEMA J010438.51-720827.8,16.16058388,-72.14106239,Hot,14.28588
WISE J010503.54-720632.1,16.26480066,-72.10894082,Hot,13.032081
WISE J010518.04-713417.9,16.32523572,-71.57164359,Hot,15.225725
2MASS J01054340-7249316,16.43087324,-72.82545252,Hot,15.636446
WISE J010708.54-694249.7,16.78563334,-69.71383144,Hot,12.926636
BBB SMC 264,16.80445052,-72.47590913,Hot,13.094334
 HV   855,16.82319593,-73.22394629,Hot,13.5950365
OGLE SMC-SC11  42325,16.89148195,-72.72206813,Hot,13.701467999999998
 HV  2064,17.04826833,-72.52176854,Hot,13.550122
 HV 12951,17.06321479,-72.50320359,Hot,13.811596
SSTISAGEMA J010824.33-714028.3,17.10144532,-71.67454907,Hot,16.042939999999998
WISE J010825.99-672224.3,17.10830024,-67.37343827,Hot,13.513407
SSTISAGEMA J010854.04-722052.1,17.22528817,-72.34780889,Hot,14.303223999999998
OGLE SMC-SC11  15501,17.22844545,-72.41448067,Hot,13.422525
SSTISAGEMA J010917.18-713322.3,17.32161065,-71.55622575,Hot,13.951464
WISE J010950.26-732339.9,17.45939218,-73.39443637,Hot,12.603006
SSTISAGEMA J010953.41-731342.4,17.47267665,-73.22846864,Hot,13.8324
WISE J011045.32-723608.6,17.68871412,-72.60238207,Hot,14.664504999999998
SSTISAGEMA J011102.01-720655.7,17.75837502,-72.11548538,Hot,13.654489000000002
WISE J011136.71-785836.3,17.90303028,-78.97674444,Hot,13.721752
WISE J011210.33-721309.9,18.04307606,-72.21943107,Hot,14.066536
SSTISAGEMA J011226.62-712640.7,18.11085423,-71.44465330,Hot,14.846977
WISE J011308.23-793446.9,18.28427651,-79.57970513,Hot,13.191604000000002
2MASS J01131443-7124516,18.31025658,-71.41437291,Hot,14.805764000000002
Dachs SMC 3-5,18.32590868,-73.36350721,Hot,13.065055
WISE J011354.03-732350.1,18.47513989,-73.39727803,Hot,12.994219
SSTISAGEMA J011403.40-723113.1,18.51428581,-72.52032277,Hot,14.716624
OGLE SMC-LPV-18574,18.63474546,-73.28961385,Hot,16.138460000000002
SSTISAGEMA J011437.68-715234.4,18.65702298,-71.87625195,Hot,13.620806
WISE J011501.54-733958.1,18.75639501,-73.66616421,Hot,13.626812
 HV  2202,18.82845761,-72.69564101,Hot,14.316053
