Name,RA,Dec,Class,Gmag
WISE J173701.19-081127.3,264.25498423,-8.19093004,Hot,12.2071085
TYC 6847-3058-1,272.18189975,-24.78555522,Hot,10.675165
TYC  436-1854-1,274.57276113,2.69952985,Hot,10.124467
BD+03  3672,274.88720079,3.21565322,Hot,10.045528
BD+06  3716,275.59676621,6.42073402,Hot,10.184167
WISE J182447.95-221429.0,276.19978873,-22.24142268,Hot,11.577283999999999
TYC 1027-2049-1,277.23676384,9.76952828,Hot,12.029687
BD-13  5016,277.91523214,-13.80205231,Hot,9.73409
WISE J184720.73-262215.5,281.83640271,-26.3709939,Hot,12.454416
TYC  460-329-1,282.1076561,7.45936637,Hot,10.439368
WISE J184939.67-262047.9,282.41533904,-26.34667217,Hot,12.261856
TYC 5693-6049-1,282.96117616,-7.94789575,Hot,10.679564
WISE J185608.58-163255.1,284.03575762,-16.54867009,Cool,12.038886
TYC 6864-654-1,284.40005091,-24.59138799,Hot,11.104244
TYC 6300-924-1,289.36705304,-18.47003054,Hot,11.983077
CD-25 13976,290.53088972,-25.14432095,Hot,9.932932000000001
TYC 2662-198-1,292.09587152,34.06027631,Hot,11.065203
HD 231561,292.36238266,10.5645032,Hot,10.025017
TYC 2667-88-1,292.85042285,35.73795518,Hot,10.332469999999999
TYC 1060-3042-1,293.55326626,10.59446686,Hot,10.582839
TYC 2142-1120-1,293.94442397,26.07349855,Hot,11.911736999999999
TYC 3938-1660-1,294.08085391,55.32119209,Hot,10.99283
WISE J193736.73+260040.6,294.40305763,26.01125436,Hot,11.708473
WISE J193851.61+275743.9,294.71504221,27.96220274,Hot,12.147637
TYC 2664-552-1,294.89786211,34.57976131,Hot,11.271647
TYC 2147-2924-1,295.18921401,26.60137821,Hot,11.753796000000001
WISE J194127.64+385155.3,295.36520609,38.86536427,Cool,12.327266
HD 225459,295.66659577,34.61867332,Hot,10.923711
TYC 2668-733-1,296.01321867,37.19238341,Hot,10.853844
TYC 2147-975-1,296.24791992,28.11440228,Hot,11.4594965
WISE J194508.46+314943.5,296.28530119,31.82877445,Hot,11.987196
TYC 3149-124-1,297.54733914,44.78201988,Hot,10.747058
TYC 2673-3369-1,298.84451277,32.67310941,Hot,12.030486999999999
WISE J195557.45+371110.2,298.98937527,37.18617309,Hot,12.660638
TYC 2670-4319-1,299.54043784,30.15054155,Hot,11.616048
TYC 2670-214-1,299.60864283,31.81163798,EM,11.336642
TYC 3936-486-1,301.43460602,54.02311437,Hot,9.942216
WISE J200813.27+220620.0,302.05531414,22.10556211,Hot,12.37936
CCDM J20135+3634A,303.38048846,36.56295086,Hot,11.626261
2MASS J20173218+1928504,304.38413958,19.48063304,Hot,12.073419
UCAC2  22814444,310.95986185,-22.51707521,Hot,11.73575
BD+44  3640,314.16853469,45.52346563,Hot,10.001673
TYC 2184-237-1,314.97904325,29.93080998,Hot,10.921778
TYC 2713-575-1,316.79576299,36.20856906,Hot,12.248467999999999
TYC 3588-10049-1,317.04145783,46.55469276,Hot,11.770621
TYC 4256-193-1,319.12558577,65.51337643,Hot,11.351306
TYC 3169-1945-1,319.92911421,37.79684012,Hot,10.808618
TYC 3599-2744-1,324.52168404,49.76723116,Hot,10.718760000000001
WISE J215228.51+525103.5,328.11876759,52.85099366,Hot,12.602198
WISE J215551.18+585957.0,328.96322684,58.99913789,Hot,12.955361
TYC 3618-2805-1,333.18872163,51.47792774,Hot,10.424043
BD+53  2823,333.59115952,53.71949208,Hot,9.545226
TYC 2231-1015-1,338.57599155,29.03994601,Hot,11.879809
TYC 3992-2435-1,340.15087933,56.38585965,Hot,10.851898
TYC 3988-187-1,341.30582698,55.43256783,Hot,10.58378
TYC 4483-226-1,356.3443189,70.18482098,Hot,10.907062
