index,oid,ra,dec
190798,800116200006758,295.7273678,58.0521714
191332,800216200008839,295.7274868,58.0522579
192067,802101100037374,329.2366299,52.0204176
192668,803110300001545,335.7218907,55.8789132
193225,803113100021402,340.6503466,58.0159158
193832,803213100028625,340.6502777,58.0159861
194835,804116100020190,340.6503531,58.0159403
195451,804216100028777,340.650344,58.0159456
196318,804316100033486,340.650346,58.0159251
196369,807106300025997,20.9191585,60.3672726
196829,807206300047978,20.9189419,60.3673838
198067,809108100008000,41.887825,61.6861336
198518,809108100025415,42.0854391,61.8287357
198969,809112400014665,42.2515084,62.5355334
199417,809208100010408,41.8874121,61.6858336
199998,809308100015102,41.8874114,61.6858274
200049,821101300003702,211.899278,58.3461026
200860,821110100000952,209.5477188,63.7440293
201699,821201300008054,211.8993796,58.3460363
202488,821210100001830,209.5477979,63.7440373
203304,821301300018024,211.8994422,58.3460357
203541,821310100002232,209.5477989,63.7440436
203781,827305400040609,294.051361,60.3934441
203881,828208300012129,294.0511918,60.3934982
204960,828308300015354,294.0513354,60.3934254
205070,830101200013707,331.8403347,59.7291138
205731,830102300004802,327.076512,59.1797206
206393,830102400008797,328.9630621,58.9992154
207055,830202300005427,327.0764241,59.1797876
208173,830202400012148,328.9630368,58.9992974
209291,830302400015681,328.9631982,58.9991383
209333,848304100005793,260.777012,66.8004562
209497,849203100004815,281.4781915,66.9300132
210516,849303100006397,281.4781369,66.9300208
210620,1301214100025587,107.7611748,-17.5892998
210638,1302207200000667,112.4369982,-20.7405669
210645,1351109100007182,106.117449,-12.0139334
210662,1351109400016293,106.0463854,-13.1116338
210679,1351209100011317,106.1174159,-12.0138564
210730,1351209400022486,106.0463933,-13.111649
210781,1352105100022182,112.745712,-14.1765087
210790,1352106200013079,109.6700463,-13.9779528
210799,1352107300039657,107.6154392,-15.0828588
210808,1352108100012611,107.0035423,-13.986254
210817,1352112200009958,106.1174466,-12.013938
210826,1352112300016911,106.2651814,-13.0333773
210835,1352112400008392,106.7349768,-12.7745228
210844,1352112400016216,106.5687182,-13.0607125
210853,1352115100007444,108.5754121,-9.9861933
210862,1352204400001911,107.3348649,-16.3690023
210912,1352205100025420,112.7457112,-14.1765106
210963,1352206200045086,109.6700497,-13.9779711
211014,1352208100016614,107.0035422,-13.9862628
211065,1352212300019055,106.265184,-13.0333783
211117,1352212400021601,106.5687093,-13.0607194
211169,1352215100055125,108.5754064,-9.9862011
211220,1353208200024612,112.7457087,-14.1765086
211259,1377206100015077,283.7832485,-13.7697586
211260,1402109400004825,94.6786129,-5.565892
211312,1402209400006757,94.678605,-5.5658095
211362,1403105300011026,101.1849474,-7.6337343
211411,1403109400011450,102.1543679,-5.7231593
211461,1403115100000163,97.6834639,-2.5434988
211507,1403205300013221,101.1849233,-7.6337327
211556,1403209400015652,102.1543057,-5.7232038
211604,1404101100008081,108.8028635,-8.5163529
211629,1404110200021174,105.7944075,-5.1490188
211655,1404112300011683,102.1543224,-5.7231846
211681,1404116200016481,102.699455,-3.3026777
211704,1404210200026473,105.7943855,-5.1490257
211753,1404212300014591,102.1543052,-5.7231887
211802,1429105400022433,282.0177468,-7.5785259
211806,1429205400074671,282.0177423,-7.5785023
211808,1430102200052950,286.0957103,-9.0086579
211810,1430108200023716,282.8417935,-6.7145311
211812,1430202200050721,286.0957115,-9.0086633
211817,1454101400012742,97.6834033,-2.5434921
211868,1454106200014932,95.0254036,0.0342475
211919,1455106200005443,102.3726903,0.5971674
211972,1455108100001728,99.5571622,0.7366493
212025,1455108100008013,99.7550638,0.4336277
212078,1455206200008355,102.3726754,0.5971621
212129,1476101200023124,249.9700686,-1.1627431
212136,1476201200002178,249.9700739,-1.1627313
212155,1477116100016725,252.8878299,3.9868714
212156,1478103300016659,260.5555607,-2.6559565
212159,1507108300006155,94.8177332,6.9055091
212208,1507110300008615,98.7769254,8.715134
212257,1507208300007936,94.8177569,6.9055051
