cntr_01,dist_x,pang_x,designation_01,source_id_01,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
2573,9.278804,126.126059,Gaia DR3 4094208193745478144,4094208193745478144,2.7298791847E+02,-2.0423380646E+01,333104300063309,272.9901400,-20.4249002,333,4,3,zg,0,0,0,0,1.602000E+01,1.450000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2574,8.121125,46.850426,Gaia DR3 4094412737288829568,4094412737288829568,2.7392285225E+02,-2.0181133909E+01,333104400090767,273.9246057,-20.1795911,333,4,4,zg,0,0,0,0,1.663100E+01,8.900000E-02,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2575,8.299835,-52.823060,Gaia DR3 4092351187379072768,4092351187379072768,2.8049096943E+02,-1.9105068280E+01,333101100167475,280.4890254,-19.1036751,333,1,1,zg,0,0,0,0,1.708800E+01,9.900000E-02,1.233000E-320,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2576,7.297539,37.239726,Gaia DR3 509604642847348224,509604642847348224,2.5105154297E+01,6.0265589132E+01,807205300072013,25.1076277,60.2672029,807,5,3,zr,2,2,2,2,1.758700E+01,1.760000E-01,1.403331E-06,0.0,3.273684E-01,1.831764E+01,0.000000E+00,1.808616E+01,0.03072275,1.785468E+01
2577,7.915284,36.640506,Gaia DR3 509414977094953216,509414977094953216,2.2760623098E+01,5.9737198606E+01,807202100068802,22.7632269,59.7389628,807,2,1,zr,0,0,1,1,1.773400E+01,1.580000E-01,0.000000E+00,0.0,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.01443556,0.000000E+00
2578,5.598255,-70.038196,Gaia DR3 509637937430960640,509637937430960640,2.6012957608E+01,6.0119164641E+01,1811312100088381,26.0100237,60.1196955,1811,12,1,zi,0,0,0,0,1.631600E+01,1.930000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2579,5.989803,-124.546167,Gaia DR3 509435902174897152,509435902174897152,2.2881585117E+01,5.9768763539E+01,807102100053838,22.8788633,59.7678200,807,2,1,zg,231,231,300,300,1.496100E+01,1.170000E-01,3.498630E-07,12.65363,2.107338E-01,1.607546E+01,1.356106E-01,1.525391E+01,0.01588921,1.443375E+01
2580,9.449068,155.992478,Gaia DR3 509849524704762752,509849524704762752,2.2882539197E+01,6.0559915098E+01,807206400075105,22.8847117,60.5575174,807,6,4,zr,46,46,50,50,1.825700E+01,1.560000E-01,2.069672E-06,9.041226,4.205130E-01,1.943311E+01,2.642746E-01,1.857332E+01,0.04333632,1.748840E+01
2581,6.980681,-39.885191,Gaia DR3 509856946410001152,509856946410001152,2.3613938673E+01,6.0484858309E+01,1810113300058265,23.6114146,60.4863462,1810,13,3,zg,0,0,0,0,1.737300E+01,1.740000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2582,6.747542,55.168107,Gaia DR3 509862031651190016,509862031651190016,2.3367512364E+01,6.0630041482E+01,807106400059821,23.3706494,60.6311120,807,6,4,zg,0,0,0,0,1.711600E+01,1.770000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2583,null,null,Gaia DR3 509863195576354816,509863195576354816,2.3313073008E+01,6.0683347981E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2584,null,null,Gaia DR3 509863199881958656,509863199881958656,2.3308343394E+01,6.0686434140E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2585,6.768014,132.232210,Gaia DR3 509866429697620864,509866429697620864,2.3730134248E+01,6.0714148250E+01,1811216300082845,23.7329798,60.7128846,1811,16,3,zr,0,0,0,0,1.703600E+01,1.460000E-01,5.000000E-322,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2586,null,null,Gaia DR3 509466654140182400,509466654140182400,2.2464059267E+01,6.0251250515E+01,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2587,6.198475,24.898377,Gaia DR3 509677829088466048,509677829088466048,2.6103858932E+01,6.0620603440E+01,808108300054445,26.1053366,60.6221652,808,8,3,zg,3,3,3,3,1.781200E+01,1.310000E-01,5.079541E-07,0.0,1.375249E-01,1.833993E+01,0.000000E+00,1.813573E+01,0.03165773,1.807825E+01
2588,3.613931,-93.178276,Gaia DR3 509678344484517504,509678344484517504,2.6117026179E+01,6.0667605473E+01,1811316400088934,26.1149801,60.6675498,1811,16,4,zi,0,0,0,0,1.454300E+01,9.600000E-02,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2589,3.584153,85.485376,Gaia DR3 509679615795011584,509679615795011584,2.6328468319E+01,6.0747343548E+01,1810113400053200,26.3304994,60.7474219,1810,13,4,zg,0,0,0,0,1.658100E+01,2.200000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2590,7.202302,-92.236300,Gaia DR3 509891477946331264,509891477946331264,2.3136312374E+01,6.1129383830E+01,807106400059819,23.1321720,61.1293057,807,6,4,zg,7,7,8,8,1.555300E+01,1.000000E-01,2.397584E-06,14.65118,3.264481E-01,1.711013E+01,2.169685E-01,1.664941E+01,0.02195574,1.615002E+01
2591,7.374796,89.234139,Gaia DR3 509703908131614208,509703908131614208,2.4838486534E+01,6.0408425583E+01,807205300072005,24.8426346,60.4084529,807,5,3,zr,8,8,9,9,1.563900E+01,4.900000E-02,6.121719E-07,19.15833,4.163743E-01,1.716952E+01,2.025700E-01,1.689490E+01,0.01567622,1.589111E+01
2592,5.528643,-22.316159,Gaia DR3 509907661378654592,509907661378654592,2.4685653414E+01,6.0870782794E+01,1810113300058223,24.6844554,60.8722035,1810,13,3,zg,0,0,0,0,1.775400E+01,3.180000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2593,4.429924,93.913255,Gaia DR3 509716552518467584,509716552518467584,2.5906434691E+01,6.0497480202E+01,807105400054586,25.9089276,60.4973962,807,5,4,zg,0,0,0,0,1.617200E+01,2.020000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2594,5.768904,-66.418791,Gaia DR3 509913193296260480,509913193296260480,2.4226976952E+01,6.0828500467E+01,1811116300062685,24.2239638,60.8291415,1811,16,3,zg,0,0,0,0,1.720900E+01,2.890000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
2595,5.328860,-98.586865,Gaia DR3 509918209817986816,509918209817986816,2.4105111042E+01,6.0980534046E+01,1811316300087378,24.1020939,60.9803130,1811,16,3,zi,0,0,0,0,1.543000E+01,1.420000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
