target,ra_1,dec_1,observable,phot_g_mean_mag,phot_variable_flag,matched_transits,index,oid,ra_2,dec_2,designation_01
Gaia DR3 2061531358019903360,20h09m17.21342327s,37d30m07.81001746s,True,9.609524,VARIABLE,54,63985,729203300136827,302.3241493,37.5022571,Gaia DR3 2061531358019903360
Gaia DR3 2061666013858471296,20h12m23.19107351s,38d03m50.20703375s,True,9.6675205,VARIABLE,47,63932,729103100072093,303.0982715,38.0652876,Gaia DR3 2061666013858471296
Gaia DR3 2061703740852988928,20h13m29.00762396s,38d28m45.90298715s,True,8.185679,VARIABLE,48,64955,729303100165334,303.3731477,38.4806273,Gaia DR3 2061703740852988928
Gaia DR3 2062418595204547584,20h14m26.07701737s,40d19m44.96028221s,True,7.327791,VARIABLE,54,65402,729307100118174,303.6056976,40.3308249,Gaia DR3 2062418595204547584
Gaia DR3 2062599636658625024,20h13m01.16757602s,41d01m42.02066769s,True,9.946217,VARIABLE,42,63953,729111400070719,303.2565002,41.0303713,Gaia DR3 2062599636658625024
Gaia DR3 2071578867082477056,20h36m40.33255794s,47d27m52.65221746s,True,10.75072,VARIABLE,47,97469,1768116100047130,309.1692254,47.4662006,Gaia DR3 2071578867082477056
Gaia DR3 2083681294654108672,20h32m25.57408622s,48d12m59.40203432s,True,6.939692,VARIABLE,41,69757,768212400085730,308.110178,48.2184479,Gaia DR3 2083681294654108672
Gaia DR3 2131713906777354368,18h52m28.75412258s,48d24m14.02684884s,True,9.801329,VARIABLE,44,68494,765110300033241,283.1168674,48.4036708,Gaia DR3 2131713906777354368
Gaia DR3 2163498962572980864,20h59m42.50539689s,45d47m58.84999097s,True,10.913905,VARIABLE,54,97470,1768210100070071,314.9291201,45.8015607,Gaia DR3 2163498962572980864
Gaia DR3 2163538721111194240,21h00m34.20264379s,46d14m49.83397597s,True,9.965198,VARIABLE,49,69712,768205300122656,315.1406434,46.2448627,Gaia DR3 2163538721111194240
Gaia DR3 2163574661395444864,21h03m53.79918391s,46d19m49.93277094s,True,7.76459,VARIABLE,55,69678,768105300084698,315.9713761,46.3323741,Gaia DR3 2163574661395444864
Gaia DR3 2166381130468439424,20h51m44.06956052s,46d01m48.10602442s,True,10.405037,VARIABLE,51,69685,768106300071397,312.9344445,46.0321085,Gaia DR3 2166381130468439424
Gaia DR3 2166458435560706816,20h49m54.65003194s,46d39m40.79489243s,True,6.326469,VARIABLE,38,69989,768306300085056,312.4738311,46.6614158,Gaia DR3 2166458435560706816
Gaia DR3 2171346005266321024,21h36m59.27905314s,50d31m43.52305122s,True,8.397928,VARIABLE,60,71107,769214400097852,324.2447225,50.5264327,Gaia DR3 2171346005266321024
Gaia DR3 2187513980151757824,20h34m33.36683386s,57d55m40.38603326s,True,8.049823,VARIABLE,65,77979,801316100043410,308.6439282,57.9280679,Gaia DR3 2187513980151757824
Gaia DR3 2192081458836612096,21h24m19.23756739s,61d16m16.86321722s,True,8.762259,VARIABLE,57,88947,830108100052359,321.08485,61.27133,Gaia DR3 2192081458836612096
Gaia DR3 4107099624025718400,18h40m32.17709666s,-10d43m07.00352585s,True,9.327803,VARIABLE,26,28720,384107100158747,280.1323027,-10.7167724,Gaia DR3 4107099624025718400
Gaia DR3 4203391652582474752,18h47m24.17973145s,-9d18m29.58660243s,True,9.1477995,VARIABLE,23,28722,384110400183486,281.8521888,-9.3094618,Gaia DR3 4203391652582474752
Gaia DR3 4206152977294739456,19h03m11.83953852s,-6d09m30.4499489s,True,11.1786785,VARIABLE,25,31633,436202400195192,285.7987776,-6.1611893,Gaia DR3 4206152977294739456
Gaia DR3 4210452823640238720,19h44m58.41472591s,-3d58m50.50567793s,True,10.233133,VARIABLE,75,33138,438208400077317,296.2450339,-3.9806577,Gaia DR3 4210452823640238720
Gaia DR3 4247149436536107264,20h06m37.44902716s,3d51m46.05928274s,True,10.187288,VARIABLE,66,34231,490107100053971,301.657413,3.863563,Gaia DR3 4247149436536107264
Gaia DR3 4253912390818107904,18h59m52.58707353s,-5d36m28.75400045s,True,11.874299,VARIABLE,26,93812,1430111300185580,284.9713272,-5.607957,Gaia DR3 4253912390818107904
Gaia DR3 4255636768647153536,18h53m57.84097867s,-3d48m49.05202996s,True,11.362258,VARIABLE,24,32478,436207400180540,283.4899734,-3.8124536,Gaia DR3 4255636768647153536
Gaia DR3 4268954981201145344,19h06m05.3934235s,3d15m58.9708816s,True,8.397388,VARIABLE,26,34220,488307300197592,286.5243264,3.2657848,Gaia DR3 4268954981201145344
Gaia DR3 4301429679916867968,19h42m37.85074569s,9d13m39.01204312s,True,8.502932,VARIABLE,52,36068,541104200116831,295.6603016,9.2275345,Gaia DR3 4301429679916867968
Gaia DR3 4304068194265408512,19h55m11.44595247s,11d57m34.01634646s,True,7.737724,VARIABLE,42,94679,1587202400109946,298.7995163,11.9609991,Gaia DR3 4304068194265408512
