index,oid,ra,dec
11725,309201400063870,111.4293384,-20.515248
11734,309202400061943,109.6783058,-19.9518432
11735,309206100052990,109.6196258,-17.1898573
11737,309211200063377,106.0489306,-15.3284319
11738,309212300055420,104.9423347,-16.2003511
11739,309213200056869,110.4705717,-13.3725574
11740,309214100025109,109.6700542,-13.9778956
12248,309214200058992,108.7389664,-13.6989896
12249,309215100025218,107.003573,-13.986206
12758,309305200080851,110.7464807,-17.9525049
12760,310103100042101,113.955148,-19.7827351
12761,310103300026445,113.5737831,-20.290185
12933,310103400045830,114.1044727,-20.2108792
12956,310107200039270,113.2343301,-17.2251888
12957,310108300043527,111.5023483,-18.138264
12959,310108300043534,111.9064248,-18.4966376
12960,310110300045014,115.4033749,-16.2961257
12961,310111300022015,113.746493,-16.2396844
13090,310112100039763,112.7856938,-15.9419787
13129,310112200039555,111.9827506,-15.3846976
13252,310115200043916,113.3957882,-13.9497703
13253,310115400044571,114.001561,-14.4689587
13254,310115400044580,114.1747403,-14.4436014
13260,310202200058244,115.7912626,-19.4103957
13261,310202200058267,115.3473255,-19.1641925
13263,310203300062531,113.556467,-20.1373817
13270,310203400045574,114.3422937,-20.3494422
13332,310203400063330,114.115108,-20.6701013
13333,310206400026040,116.5097005,-18.6919272
13908,310209300053464,117.0992382,-16.5842142
13909,310211100057911,114.3865323,-15.6816194
13913,310211200051611,113.3615722,-16.0575044
14421,310211200058648,113.1897197,-15.3201464
14427,310215100052442,114.5656006,-13.850364
14429,310215400059003,114.4133587,-14.4389714
14443,310216400000432,112.7457002,-14.1765206
15007,310216400059014,112.5056149,-14.9788858
15017,310303100069297,114.1682306,-19.7022137
15018,311103100037014,121.1749311,-19.7280001
15032,311108100036823,119.5354186,-17.7513947
15033,311301200010003,124.0425782,-19.3906055
15056,311316100008033,119.4086716,-13.6063222
15079,312103300031194,127.7670016,-20.3057105
15080,312116400028791,126.8640672,-14.933656
15081,322301200004840,201.8432428,-19.4539006
15105,330103100086901,254.5583094,-19.2265508
