designation|source_id|ra|dec
Gaia DR3 2012771861325524992|2012771861325524992|358.27360618|61.951554379
Gaia DR3 2012771865632485888|2012771865632485888|358.27230852|61.953290677
Gaia DR3 2012771968711694976|2012771968711694976|358.30430344|61.962979775
Gaia DR3 2012772033124215808|2012772033124215808|358.40365532|61.955518368
Gaia DR3 2012774648771228416|2012774648771228416|358.75265394|62.091637137
Gaia DR3 2012603021876275200|2012603021876275200|357.0088007|61.228330391
Gaia DR3 2012956205629816064|2012956205629816064|356.43288756|62.291996203
Gaia DR3 2012958439012758912|2012958439012758912|356.75792219|62.398552862
Gaia DR3 2012971323913160064|2012971323913160064|358.08137764|62.118491824
Gaia DR3 2013112881729417344|2013112881729417344|343.94079579|57.601904042
Gaia DR3 2013266955099705344|2013266955099705344|346.13816777|58.677160416
Gaia DR3 2013139308670676224|2013139308670676224|344.30632892|57.997648303
Gaia DR3 2012834984469785216|2012834984469785216|355.81032107|61.462856237
Gaia DR3 2013006164689052416|2013006164689052416|359.17753459|62.486954186
Gaia DR3 2012837527090883072|2012837527090883072|355.94402282|61.45012702
Gaia DR3 2012854672600157184|2012854672600157184|356.17541677|61.668011683
Gaia DR3 2013343817832699520|2013343817832699520|345.17069501|58.946490566
Gaia DR3 2203157835897939456|2203157835897939456|329.831925|60.297654983
Gaia DR3 1995081135855943552|1995081135855943552|359.48112594|57.084779701
Gaia DR3 4116862875002593536|4116862875002593536|266.00071517|-23.047415
Gaia DR3 2202939720283193344|2202939720283193344|330.93197528|59.979378342
Gaia DR3 2203102516722685184|2203102516722685184|332.18996524|61.02240768
Gaia DR3 4152321403365187072|4152321403365187072|275.68630804|-14.363499579
Gaia DR3 4152350952729147520|4152350952729147520|275.50977918|-14.013704971
Gaia DR3 4486479651508955008|4486479651508955008|265.47389142|7.2051663998
Gaia DR3 423664202677148928|423664202677148928|13.539051786|55.747522658
Gaia DR3 423977219895137408|423977219895137408|14.507520456|56.431120495
Gaia DR3 424327139459901952|424327139459901952|14.178720946|57.593526293
Gaia DR3 423149081478526464|423149081478526464|0.28674539971|58.97986856
Gaia DR3 423157774492279680|423157774492279680|0.31133185078|59.142792153
Gaia DR3 423818168663622784|423818168663622784|13.151308737|56.600036971
Gaia DR3 423818404880147456|423818404880147456|13.205039211|56.627635393
Gaia DR3 423818404882207232|423818404882207232|13.20646425|56.626888199
Gaia DR3 423818409181768704|423818409181768704|13.203955408|56.625227691
Gaia DR3 423818546620693760|423818546620693760|13.203992383|56.65234284
Gaia DR3 423559336751603328|423559336751603328|14.532029698|55.824366275
Gaia DR3 423559336757359872|423559336757359872|14.532010024|55.814803349
Gaia DR3 423560401909223168|423560401909223168|14.428857669|55.858651618
Gaia DR3 4269135717762411264|4269135717762411264|286.04050056|3.0973334779
Gaia DR3 358136917427585408|358136917427585408|31.547585434|49.156315193
Gaia DR3 359281749549586048|359281749549586048|29.707141068|50.878071554
Gaia DR3 3126354970192720000|3126354970192720000|102.16276617|2.0889111445
Gaia DR3 3125760551017007872|3125760551017007872|102.19934561|1.5648640832
Gaia DR3 3125506151511957120|3125506151511957120|101.1952509|0.22175161988
Gaia DR3 3125514943307424128|3125514943307424128|101.37744104|0.36981933
Gaia DR3 3125518039984467328|3125518039984467328|101.16704858|0.25593050323
Gaia DR3 3125820130803407744|3125820130803407744|100.83516795|1.0527368191
Gaia DR3 3125842224115064064|3125842224115064064|100.92635038|1.2890877933
Gaia DR3 3125580780866556416|3125580780866556416|101.15230067|0.58930518112
