cntr_01,dist_x,pang_x,designation_01,source_id_01,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
294,0.188260,7.050331,Gaia DR3 4382345695515446016,4382345695515446016,2.4997005598E+02,-1.1627516990E+00,431210100005015,249.9700624,-1.1626998,431,10,1,zr,461,298,545,340,1.348700E+01,1.200000E-02,2.587723E-07,1.179179E+00,1.538437E-02,1.355837E+01,9.354591E-03,1.349001E+01,1.176167E-02,1.339486E+01
296,0.065614,-24.817043,Gaia DR3 3406590286197846400,3406590286197846400,7.4228872048E+01,1.8096297857E+01,1555214400001604,74.2288640,18.0963144,1555,14,4,zr,95,68,99,70,1.321500E+01,1.000000E-02,2.927463E-07,9.043281E+00,1.166558E-01,1.352162E+01,7.200146E-02,1.317525E+01,1.180427E-02,1.304428E+01
296,0.086346,-30.608731,Gaia DR3 3406590286197846400,3406590286197846400,7.4228872048E+01,1.8096297857E+01,560206200009973,74.2288592,18.0963185,560,6,2,zr,373,348,438,409,1.324900E+01,1.500000E-02,1.824815E-07,6.673723E+00,1.335475E-01,1.355991E+01,9.377956E-02,1.320512E+01,2.083359E-02,1.301462E+01
296,0.101380,-12.967181,Gaia DR3 3406590286197846400,3406590286197846400,7.4228872048E+01,1.8096297857E+01,1555114400001093,74.2288654,18.0963253,1555,14,4,zg,69,50,79,55,1.323500E+01,1.100000E-02,1.685991E-07,9.007204E+00,1.129616E-01,1.360613E+01,7.172966E-02,1.324018E+01,1.180681E-02,1.309463E+01
296,0.132921,-27.187712,Gaia DR3 3406590286197846400,3406590286197846400,7.4228872048E+01,1.8096297857E+01,560106200006789,74.2288543,18.0963307,560,6,2,zg,262,258,314,309,1.323000E+01,1.100000E-02,4.415906E-07,3.729991E+00,1.418776E-01,1.360901E+01,9.473228E-02,1.323109E+01,3.765427E-02,1.303129E+01
300,0.075442,-13.606801,Gaia DR3 3408261165914697344,3408261165914697344,7.5112308420E+01,1.9184880332E+01,560210400011189,75.1123032,19.1849007,560,10,4,zr,368,341,435,406,1.299500E+01,1.200000E-02,1.737901E-07,1.154194E+00,1.406201E-02,1.305434E+01,9.263515E-03,1.300269E+01,1.189929E-02,1.295745E+01
300,0.107723,-5.833237,Gaia DR3 3408261165914697344,3408261165914697344,7.5112308420E+01,1.9184880332E+01,560110400006725,75.1123052,19.1849101,560,10,4,zg,274,269,314,309,1.340700E+01,1.200000E-02,1.839405E-07,9.792186E-01,1.633114E-02,1.347309E+01,9.852409E-03,1.340663E+01,1.491718E-02,1.333497E+01
320,0.063228,17.342501,Gaia DR3 2037308360956406272,2037308360956406272,2.8545390975E+02,2.8370559935E+01,1682106400015274,285.4539157,28.3705767,1682,6,4,zg,64,47,73,56,1.402600E+01,1.800000E-02,4.232158E-07,2.355097E+00,3.214188E-02,1.405991E+01,2.372932E-02,1.399842E+01,1.493828E-02,1.392940E+01
320,0.093597,15.406599,Gaia DR3 2037308360956406272,2037308360956406272,2.8545390975E+02,2.8370559935E+01,1682206400018001,285.4539176,28.3705850,1682,6,4,zr,61,54,73,58,1.359700E+01,2.000000E-02,1.388330E-06,1.648333E+00,1.683435E-02,1.361897E+01,1.219559E-02,1.358606E+01,1.096937E-02,1.354123E+01
320,0.113819,-3.270606,Gaia DR3 2037308360956406272,2037308360956406272,2.8545390975E+02,2.8370559935E+01,638115400023343,285.4539077,28.3705915,638,15,4,zg,343,326,374,357,1.400800E+01,1.500000E-02,4.069775E-07,3.234514E+00,3.311570E-02,1.414984E+01,2.200699E-02,1.401193E+01,1.008731E-02,1.392741E+01
320,0.173699,-10.348005,Gaia DR3 2037308360956406272,2037308360956406272,2.8545390975E+02,2.8370559935E+01,638215400025998,285.4538999,28.3706074,638,15,4,zr,891,864,934,904,1.358900E+01,2.100000E-02,6.725124E-07,1.560376E+00,9.148686E-02,1.497516E+01,1.095581E-02,1.359542E+01,1.040973E-02,1.352552E+01
331,0.069807,34.497824,Gaia DR3 2239188728850416896,2239188728850416896,2.9405138027E+02,6.0393412419E+01,827305400040609,294.0514025,60.3934284,827,5,4,zi,157,93,167,100,1.289000E+01,2.100000E-02,4.514486E-07,1.564833E+00,2.300523E-02,1.292847E+01,1.327133E-02,1.286012E+01,1.257391E-02,1.281100E+01
331,0.131678,-36.819597,Gaia DR3 2239188728850416896,2239188728850416896,2.9405138027E+02,6.0393412419E+01,828308300015354,294.0513359,60.3934417,828,8,3,zi,173,107,180,110,1.284600E+01,1.700000E-02,3.666984E-07,9.434091E-01,1.533521E-02,1.289843E+01,8.336067E-03,1.284296E+01,1.310042E-02,1.279669E+01
331,0.252665,-56.945685,Gaia DR3 2239188728850416896,2239188728850416896,2.9405138027E+02,6.0393412419E+01,828208300012129,294.0512612,60.3934507,828,8,3,zr,651,647,1089,1079,1.259000E+01,1.900000E-02,4.630880E-07,1.581005E+00,4.974359E-02,1.265384E+01,1.181889E-02,1.259060E+01,1.108326E-02,1.228253E+01
350,0.109041,-49.701673,Gaia DR3 1808137014947486208,1808137014947486208,3.0082224777E+02,1.6311927710E+01,592204100039710,300.8222237,16.3119473,592,4,1,zr,770,734,1036,987,1.284200E+01,1.500000E-02,5.109110E-07,1.088368E+00,2.323961E-02,1.332144E+01,9.571075E-03,1.282718E+01,1.303793E-02,1.276654E+01
350,0.109983,-22.672248,Gaia DR3 1808137014947486208,1808137014947486208,3.0082224777E+02,1.6311927710E+01,592104100033427,300.8222355,16.3119559,592,4,1,zg,288,286,387,384,1.263200E+01,2.300000E-02,4.060152E-07,8.315460E-01,1.340592E-02,1.264890E+01,8.156300E-03,1.260596E+01,1.454223E-02,1.256808E+01
350,0.131516,2.755633,Gaia DR3 1808137014947486208,1808137014947486208,3.0082224777E+02,1.6311927710E+01,1587109100041306,300.8222496,16.3119642,1587,9,1,zg,65,41,72,47,1.261400E+01,2.100000E-02,4.730360E-07,1.352390E+00,1.372929E-02,1.262989E+01,9.381294E-03,1.259818E+01,1.028454E-02,1.256902E+01
351,0.076992,-16.012590,Gaia DR3 3032142324237844864,3032142324237844864,1.0761544481E+02,-1.5082872957E+01,1352107300039657,107.6154387,-15.0828524,1352,7,3,zg,21,7,27,9,1.239900E+01,1.400000E-02,4.567300E-07,1.009645E+00,1.110952E-02,1.240776E+01,7.043839E-03,1.238859E+01,1.034343E-02,1.236185E+01
388,0.083973,34.116505,Gaia DR3 4301041036913485312,4301041036913485312,2.9497282279E+02,7.9539064886E+00,1535206100004450,294.9728360,7.9539258,1535,6,1,zr,67,39,69,41,1.332700E+01,2.100000E-02,3.858025E-07,1.503293E+00,2.144658E-02,1.334404E+01,1.613998E-02,1.330170E+01,1.591782E-02,1.324621E+01
388,0.090391,-8.826089,Gaia DR3 4301041036913485312,4301041036913485312,2.9497282279E+02,7.9539064886E+00,489215100022615,294.9728189,7.9539313,489,15,1,zr,820,767,990,930,1.333000E+01,2.000000E-02,4.306472E-07,1.193900E+00,1.795805E-02,1.336531E+01,1.102257E-02,1.330328E+01,1.368796E-02,1.320355E+01
388,0.121756,32.224732,Gaia DR3 4301041036913485312,4301041036913485312,2.9497282279E+02,7.9539064886E+00,1535106100004195,294.9728410,7.9539351,1535,6,1,zg,62,33,65,36,1.340600E+01,2.200000E-02,4.573316E-07,9.655012E-01,1.642532E-02,1.343886E+01,9.855270E-03,1.339778E+01,1.513351E-02,1.335939E+01
388,0.133234,-10.313049,Gaia DR3 4301041036913485312,4301041036913485312,2.9497282279E+02,7.9539064886E+00,489115100056329,294.9728161,7.9539429,489,15,1,zg,282,261,306,285,1.342500E+01,1.500000E-02,3.678196E-07,8.242514E-01,1.295131E-02,1.346005E+01,6.954193E-03,1.340909E+01,1.250867E-02,1.335135E+01
478,0.109440,-21.145906,Gaia DR3 2929750338261632896,2929750338261632896,1.1022447736E+02,-2.1166436253E+01,260115200019483,110.2244656,-21.1664079,260,15,2,zg,88,87,124,123,1.204100E+01,2.000000E-02,4.517540E-07,1.865618E+00,2.017877E-02,1.202035E+01,1.352978E-02,1.195454E+01,1.075206E-02,1.191700E+01
