source_id,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
2016094211811343104,323262435,358.4556410586618,63.2254619342354,0.25313012884693903,0.01460566,17.330961,-3.385975695732367,0.014270154,-1.5661652578981784,0.015926264,31,,,0,0,1.0457934,2341.7905,10.035589,935.4664,10.220642,1048.5977,9.688153,1.1912506,0.5324888,,,,,,,VARIABLE,116.49674410160688,1.075837314884055,false,false,0,true,true,false,true,false,false,true,false,,,,,,,3720.0596,3527.9038,3920.9468
2016385032634317824,1723852800,359.20316711523503,64.02225294561781,0.25104078642765293,0.011172507,22.469513,-1.2933846949724064,0.010937459,-0.6043212371838744,0.011862177,31,,,0,0,0.88502693,784.4961,10.461537,295.49988,10.860959,246.60228,9.861952,1.2332135,0.9990072,,,,,,,VARIABLE,116.99313456293119,1.7821607945870128,false,false,0,true,true,false,true,false,true,true,false,32513.02,3.685,0.0015,3842.339,2.6578,1.4658,3602.4546,3488.8247,3744.0454
1821521438743424128,1761229338,297.06983212469254,18.231302620466725,0.4230031156096619,0.017998422,23.502234,-1.475508283859781,0.017488094,-4.199628252146815,0.017096711,31,,,0,0,0.831719,992.40594,9.945655,256.66983,10.026583,378.83835,9.754084,1.1752883,0.27249908,,,,,,,VARIABLE,55.610734971080326,-3.7184129124095078,false,false,0,true,true,false,true,false,true,true,false,28982.527,3.9513,5.0E-4,2808.0806,1.3006,0.7102,2272.1843,2183.9685,2371.0715
3376650893813169152,960519079,93.86949256671262,21.248336581676302,0.5461324915956882,0.015012791,36.37781,0.2365781038632856,0.016397346,-2.12652958723946,0.012002843,31,,,0,0,0.93708384,3542.2034,9.458082,1414.3328,9.647025,3475.1367,9.106227,1.1914281,0.5407982,,,,,,,VARIABLE,190.0273355329466,2.0422600687365913,false,false,0,true,true,false,true,false,false,true,false,,,,,,,1726.2712,1673.3657,1775.2467
3375484930451855872,1197285103,96.00756749283859,19.908969970064973,0.5223064857805146,0.018396381,28.391806,-0.30442207782229436,0.02276335,-1.0855941358045167,0.017276118,31,,,0,0,1.0508295,324.53735,8.857017,113.33687,9.048652,105.57996,8.488799,1.1987565,0.5598526,,,,,,,VARIABLE,192.1532056043026,3.1782046560388024,false,false,0,true,true,false,true,false,false,true,false,,,,,,,1810.8112,1755.6553,1886.7817
3375026154926033408,224210627,93.52579926707283,20.169687076465642,0.5382354663321893,0.039003167,13.799788,0.19661642615430122,0.041617345,-3.7187544366191987,0.030437041,31,,,0,0,0.8782979,1546.3677,8.570224,698.0145,8.516989,763.8245,8.611831,1.1667713,-0.09484196,,,,,,,VARIABLE,190.82251547766444,1.2453576487860094,false,false,0,true,true,false,true,false,true,true,false,24911.998,3.8535,-0.8061,1641.8625,0.5468,0.2967,1724.7498,1616.2069,1860.6525
1824382436723547008,1113076786,295.4321900042379,18.322478516147005,0.2588686896142626,0.01858437,13.929377,-2.7766803271004132,0.016653748,-6.338965919235287,0.01836909,31,,,0,0,1.1285931,1857.45,10.749174,712.0264,10.930266,652.55975,10.417948,1.184896,0.5123186,,,,,,,VARIABLE,54.91388811729015,-2.3247913048339326,false,false,0,true,true,false,true,false,false,true,false,7020.219,1.9087,-1.3839,8557.104,0.2902,0.1564,3659.001,3423.683,3944.8542
2059678646610374272,808349686,298.75000724471164,36.04425824992156,0.10520500510659712,0.013176726,7.9841537,-2.467158319526307,0.013273134,-5.323935730492023,0.0146334,31,,,1,0,0.9170876,1317.352,12.81832,406.6269,12.916353,466.9368,12.625025,1.165564,0.29132843,,,,,,,VARIABLE,71.70359004461501,4.087263748598419,false,false,0,true,true,false,true,false,true,true,false,20036.428,4.0298,0.0256,5042.2964,1.1433,0.6201,7549.1733,6997.3994,8080.321
3058953365523717632,1385233316,110.83875083519388,-4.432423619713273,0.5834311573788145,0.023433853,24.896936,-1.739450748039433,0.024857795,2.2316702501264367,0.023772871,31,,,2,0,1.1439707,345.53427,8.667965,107.76711,8.744928,133.10335,8.486707,1.1730026,0.25822163,29.120863,21.161154,10,133.99702,65.291374,0.0,VARIABLE,220.54033979953772,5.044770379305991,false,false,0,true,true,false,true,false,false,true,false,7760.7476,2.5285,-4.1161,1687.935,0.1441,0.0776,1640.5815,1586.5366,1701.1031
3059411758795283968,320036052,107.79378545133007,-4.703302488767526,0.27417424710945404,0.02044318,13.411526,-2.056292949861673,0.02064178,3.0437838302344966,0.018276542,31,,,0,0,1.0388677,1364.6924,6.9136596,485.21872,7.089632,356.3344,6.5573506,1.2011441,0.5322814,95.76467,0.5537396,19,485.64404,13.193767,0.0,VARIABLE,219.37113087385998,2.229618282681382,false,false,0,true,true,false,true,false,true,true,false,8442.749,1.6002,-1.7525,3057.907,0.8208,0.4456,3346.9585,3137.8901,3639.3206
